id	lon	lat	b_code
22386	236	32.3072	56.3545	4
22489	237	32.6343	56.4679	4
22596	238	32.4908	56.559	4
22685	239	32.3438	56.5957	4
22782	240	32.6151	56.6798	4
22872	241	32.1628	56.6571	4
22962	242	31.3722	56.9657	4
23065	243	31.3701	57.0247	4
23175	244	31.6001	57.0538	4
23283	245	31.944	56.9633	4
23389	246	31.5289	56.8689	4
23480	247	31.7704	56.8309	4
23574	248	31.9123	56.7081	4
23667	249	32.1016	56.8395	4
23764	250	32.3186	56.8325	4
23865	251	32.2822	56.971	4
23950	252	32.4503	57.0799	4
24045	253	32.5598	56.8095	4
24136	254	32.556	56.9705	4
24234	255	31.3512	57.2662	6
24336	256	31.3322	57.14	4
24438	257	31.3825	57.4401	6
24551	258	31.4311	57.3719	4
24651	259	31.7023	57.4321	6
24744	260	31.9652	57.4204	4
24806	261	31.9703	57.3021	4
24919	262	31.5165	57.084	4
25027	263	32.0831	57.1186	4
25133	264	32.1647	57.1674	4
25227	265	32.3732	57.2021	4
25318	266	32.2621	57.3423	4
25429	267	32.4482	57.3556	4
25533	268	32.3475	57.4177	4
25638	269	32.2861	57.5033	4
25733	270	31.1946	57.7685	6
25822	271	31.4247	57.7427	6
25926	272	31.3697	57.9022	4
26030	273	31.5212	57.9018	4
26142	274	31.6358	57.8662	4
26261	275	31.814	57.909	4
26377	276	32.1981	57.6793	4
26468	277	32.4717	57.6444	4
26563	278	32.4489	57.8184	4
26694	279	32.2226	57.8657	4
26783	280	31.8902	57.7224	6
26877	281	31.7585	57.6703	6
26993	282	31.588	57.6364	6
27099	283	31.4802	57.56	6
27210	284	31.1881	58.1414	4
27303	285	31.1606	58.027	4
27412	286	31.5666	58.0424	4
27501	287	31.4584	58.168	4
27571	288	31.7383	58.0331	4
27655	289	32.1806	57.9809	4
27748	290	32.2874	58.1496	4
27842	291	31.9259	58.1729	4
27963	292	31.7214	58.2672	4
28060	293	31.8353	58.3212	4
28148	294	31.2626	58.6311	6
28217	295	31.4231	58.6551	6
28312	296	31.2127	58.428	4
28405	297	31.7083	58.3222	4
28489	298	31.6631	58.4599	4
28588	299	32.2364	58.3616	4
28689	300	32.2297	58.5245	4
28777	301	31.9455	58.6274	4
28872	302	32.2494	58.6782	6
28971	303	31.7714	58.7053	4
29022	304	31.0989	58.9543	6
29063	305	31.614	58.8339	6
29170	306	31.5318	59.0317	6
29226	307	32.2147	58.8031	6
29320	308	32.1665	59.0632	6
29411	309	31.1814	59.2947	6
29498	310	31.2516	59.4451	6
29581	311	31.419	59.3658	6
29665	312	31.4684	59.2992	6
29749	313	31.252	59.1826	6
29827	314	31.9573	59.2184	6
29863	315	31.2559	59.8072	6
29963	316	31.1327	59.7022	6
30064	317	31.1798	59.6133	6
30118	318	31.5247	59.8958	6
30205	319	31.5967	59.949	6
30299	320	31.7454	60.0206	6
30405	321	32.8028	55.853	4
30500	322	32.8571	55.6986	4
30607	323	33.1438	55.7332	4
30701	324	33.1259	55.8693	4
30804	325	33.1022	55.9843	4
30895	326	32.8691	56.4163	4
30990	327	32.7837	56.3309	4
31080	328	33.1085	56.3117	4
31185	329	33.0281	56.1704	4
31282	330	33.2682	56.193	4
31395	331	32.7871	56.1714	4
31483	332	32.8559	56.0496	4
31582	333	32.6935	56.5641	4
31678	334	32.8642	56.6366	4
31757	335	32.9039	56.8175	4
31845	336	32.6812	57.16	4
31949	337	32.9823	57.1472	4
32036	338	32.9707	57.0232	4
32159	339	32.964	56.9552	4
32254	340	32.6932	57.5947	4
32374	341	32.5861	57.5206	4
32463	342	32.7578	57.477	4
32549	343	33.0053	57.4332	4
32664	344	32.7248	57.2877	4
32755	345	32.7141	57.9221	4
32867	346	32.9145	57.8346	4
32963	347	32.6591	57.7408	4
33048	348	33.011	57.6921	4
33136	349	32.4926	58.4262	4
33255	350	32.7701	58.3926	4
33350	351	32.7647	58.2958	4
33444	352	32.6619	58.1448	4
33547	353	32.5039	58.6316	6
33656	354	32.4928	58.5818	6
33739	355	32.8169	58.5475	6
33833	356	32.735	58.6625	6
33967	357	32.6299	58.7864	6
34063	358	32.1471	59.2417	6
34150	359	32.3757	59.2137	6
34260	360	32.4026	58.9463	6
34357	361	31.9086	59.6396	6
34459	362	32.1153	59.5476	6
34569	363	32.2833	59.3684	6
34668	364	32.4198	59.5125	6
34760	365	32.5785	59.2959	6
34862	366	32.485	59.6249	6
34953	367	31.8205	60.0416	6
35065	368	31.8095	59.9103	6
35164	369	32.2903	59.9866	6
35286	370	32.2006	59.8555	6
35376	371	32.2792	59.7201	6
35475	372	31.8315	60.1914	6
35571	373	33.3624	60.7728	6
35655	374	33.3906	60.6563	6
35747	375	32.6322	60.3268	6
35834	376	32.9501	60.4317	6
35913	377	33.3098	60.4429	6
35998	378	33.5775	60.4922	6
36097	379	33.6908	60.5928	6
36191	380	33.9336	60.4653	6
36285	381	33.9237	60.3209	6
36377	382	33.6606	60.4268	6
36466	383	33.1716	60.3467	6
36589	384	32.8444	60.2546	6
36668	385	33.5859	60.2434	6
36758	386	32.6698	60.1868	6
36874	387	32.8542	60.0889	6
37002	388	33.2978	60.1398	6
37116	389	33.3044	60.0289	6
37222	390	33.5384	60.0587	6
37336	391	33.8655	60.214	6
37426	392	33.9316	60.1059	6
37507	393	33.8826	59.9779	6
37591	394	33.7919	59.9013	6
37678	395	33.4164	59.8789	6
37766	396	32.885	59.9403	6
37878	397	32.711	59.9831	6
37996	398	32.575	59.9234	6
38087	399	32.8707	59.8432	6
38201	400	32.6028	59.7257	6
38320	401	32.9211	59.7143	6
38407	402	33.476	59.7355	6
38511	403	33.211	59.8027	6
38601	404	33.4579	59.6621	6
38703	405	33.4011	59.5802	6
38792	406	32.8862	59.5101	6
38905	407	33.7779	59.6126	6
38994	408	32.708	59.4162	6
39092	409	32.9137	59.313	6
39175	410	33.1556	59.4771	6
39272	411	33.5201	59.4401	6
39368	412	33.7293	59.3576	6
39463	413	33.434	59.2786	6
39559	414	32.9638	59.1993	6
39667	415	33.2957	59.1644	6
39752	416	33.9541	59.227	6
39831	417	33.0668	58.9553	6
39923	418	33.1295	59.0401	6
40045	419	33.417	58.933	6
40162	420	33.6953	58.8625	6
40265	421	33.7524	58.9402	6
40361	422	33.598	59.0308	6
40442	423	33.6016	59.1465	6
40530	424	33.8933	59.0702	6
40624	425	32.7301	59.135	6
40749	426	32.8669	58.7894	6
40843	427	33.2188	58.8122	6
40964	428	33.0338	58.7109	6
41049	429	32.955	58.6467	6
41142	430	33.3331	58.6246	6
41263	431	33.0858	58.5355	6
41371	432	33.5686	58.701	6
41472	433	33.8955	58.7451	6
41582	434	33.9696	58.5688	6
41707	435	33.6747	58.5044	4
41809	436	33.2049	58.3359	4
41929	437	33.3479	58.4244	4
42046	438	33.6261	58.4138	4
42165	439	34.0475	58.4513	4
42273	440	33.8559	58.1759	4
42376	441	34.0402	58.1524	4
42471	442	33.6541	58.2122	4
42577	443	33.2914	58.1239	4
42679	444	33.0556	58.2092	4
42773	445	33.5015	58.3098	4
42888	446	32.9931	58.0479	4
42983	447	33.2374	57.8984	4
43076	448	33.2177	57.7485	4
43160	449	33.6273	57.9616	4
43286	450	33.7462	58.0255	4
43399	451	33.9347	58.0189	4
43503	452	33.8871	57.819	4
43598	453	33.6113	57.8351	4
43684	454	33.8732	57.7097	4
43766	455	33.1361	57.5382	4
43852	456	33.2504	57.4561	4
43944	457	33.3879	57.557	4
44026	458	33.5687	57.6714	4
44105	459	33.8957	57.5915	4
44194	460	33.7234	57.5517	4
44281	461	33.5358	57.4266	4
44375	462	33.8184	57.4135	4
44454	463	34.1057	57.4081	4
44541	464	34.0694	57.5624	4
44631	465	33.1475	57.3395	4
44734	466	33.366	57.309	4
44803	467	33.1794	57.1982	4
44892	468	33.3679	57.1409	4
45005	469	33.5506	57.1758	4
45105	470	33.6345	57.2656	4
45241	471	34.3358	57.2732	4
45333	472	34.0986	57.2973	4
45421	473	34.2983	57.1061	4
45522	474	34.0884	57.1802	4
45612	475	34.0471	57.0413	4
45716	476	33.6527	57.0739	4
45803	477	33.2958	57.0279	4
45893	478	33.2394	56.9311	4
45987	479	33.5262	56.9764	4
46074	480	33.7432	56.9744	4
46161	481	34.1537	56.9721	4
46250	482	34.2742	56.803	4
46353	483	33.9772	56.8033	4
46451	484	33.6657	56.8021	4
46546	485	33.4606	56.8392	4
46634	486	33.1721	56.6792	4
46728	487	33.4517	56.7079	4
46824	488	33.7826	56.6869	4
46915	489	33.3032	56.5182	4
47047	490	33.3434	56.3596	4
47141	491	33.6122	56.3955	4
47253	492	33.8868	56.5333	4
47348	493	33.6114	56.5861	4
47445	494	34.3567	56.5876	4
47561	495	34.1302	56.4986	4
47653	496	34.4047	56.4422	4
47741	497	34.157	56.3317	4
47840	498	33.9492	56.3957	4
47934	499	33.5638	56.2377	4
48041	500	33.2956	56.0368	4
48167	501	33.6323	56.0913	4
48270	502	33.922	56.2307	4
48377	503	34.1591	56.146	4
48474	504	34.2152	56.0231	4
48568	505	33.9409	56.0255	4
48645	506	34.0251	55.8775	4
48739	507	33.3634	55.8389	4
48834	508	33.5275	55.7612	4
48965	509	33.3873	55.6247	4
49061	510	33.1974	55.4527	4
49136	511	33.4204	55.4575	4
49230	512	33.5865	55.5759	4
49326	513	33.8998	55.5099	4
49440	514	33.8852	55.5949	4
49545	515	34.0791	55.5353	4
49657	516	34.109	55.6308	4
49764	517	34.3169	55.6635	4
49847	518	34.4753	55.5808	4
49929	519	34.3754	55.4695	4
50014	520	34.2053	55.7808	4
50119	521	33.8417	55.7636	4
50242	522	34.4563	55.8506	4
50336	523	33.266	55.2766	4
50430	524	33.5351	55.3317	4
50549	525	33.752	55.4428	4
50633	526	33.9837	55.413	4
50742	527	34.2494	55.3838	4
50849	528	34.4421	55.3583	4
50931	529	34.4389	55.212	4
51016	530	34.1904	55.2758	4
51113	531	33.8377	55.316	4
51227	532	33.6145	55.1646	4
51339	533	34.1865	55.0924	4
51426	534	34.5471	55.0819	4
51517	535	33.1998	55.1418	4
51610	536	33.1976	54.9651	4
51689	537	33.4227	54.9958	4
51782	538	33.7387	55.0176	4
51875	539	33.6422	54.9331	4
51976	540	33.6927	54.8094	4
52064	541	33.9023	54.8325	4
52165	542	34.0353	54.9606	4
52264	543	34.3032	54.8857	4
52360	544	33.3239	54.6804	4
52441	545	33.4749	54.6311	4
52557	546	33.5515	54.5445	4
52654	547	33.5682	54.7198	4
52743	548	34.1165	54.7163	4
52848	549	34.3607	54.6433	4
52930	550	34.121	54.5047	4
53018	551	33.8088	54.5072	4
53123	552	34.4879	54.4255	4
53215	553	33.3844	54.2967	4
53301	554	33.5925	54.1778	4
53384	555	33.5555	54.3173	4
53476	556	33.8481	54.3026	4
53570	557	34.1502	54.331	4
53655	558	34.1534	54.1625	4
53744	559	33.8069	54.2021	4
53842	560	33.574	54.0707	4
53949	561	33.8843	54.0498	4
54054	562	33.6505	53.9013	4
54158	563	33.6517	53.7545	4
54260	564	34.0177	53.6538	4
54369	565	34.2146	53.8409	4
54473	566	34.0301	53.8803	4
54572	567	34.2972	54.0175	4
54647	568	34.3811	53.7656	4
54730	569	33.5458	53.5429	4
54816	570	33.817	53.5455	4
54906	571	33.6444	53.4437	4
54998	572	33.5891	53.288	4
55088	573	33.8418	53.3441	4
55173	574	33.8264	53.2498	4
55268	575	34.1636	53.3176	4
55357	576	34.0908	53.2457	4
55450	577	34.0608	53.4511	4
55541	578	34.3271	53.5042	4
55628	579	34.3301	53.3851	4
55711	580	34.48	53.3068	4
55792	581	33.6499	53.1031	4
55870	582	33.976	53.0242	4
55955	583	33.7516	52.931	4
56045	584	33.9635	52.856	4
56129	585	34.2343	53.1721	4
56218	586	34.252	52.9546	4
56309	587	34.5695	53.0113	4
56393	588	34.4099	52.8618	4
56488	589	33.8582	52.746	4
56573	590	33.8119	52.654	4
56672	591	34.2111	52.7785	4
56761	592	34.1697	52.691	4
56856	593	34.4642	52.7275	4
56946	594	34.6099	52.6386	4
57050	595	34.3863	52.5798	4
57151	596	34.2525	52.4967	4
57235	597	34.4873	52.4331	4
57321	598	34.0612	52.4509	4
57415	599	33.873	52.4455	4
57502	600	33.9586	52.3109	4
57604	601	34.2584	52.3394	4
57697	602	34.6663	52.3413	4
57777	603	34.4744	52.2179	4
57855	604	34.3483	52.095	4
57954	605	34.1698	52.1465	4
58063	606	34.2376	51.9606	4
58150	607	34.6349	52.0515	4
58273	608	34.6141	51.8852	4
58356	609	34.72	51.7629	4
58429	610	34.3963	51.8529	4
58511	611	34.3658	51.6741	4
58605	612	34.1452	51.6564	4
58690	613	34.4744	51.5506	4
58778	614	34.6927	51.6417	4
58867	615	34.8045	51.5144	4
58954	616	34.3649	51.4899	4
59029	617	34.2866	51.4256	4
59103	618	34.5782	51.3928	4
59190	619	34.4781	51.2992	4
59264	620	34.9212	51.2272	4
59344	621	35.4287	50.6293	4
59423	622	35.501	50.5209	4
59512	623	35.9158	50.4667	4
59595	624	36.1842	50.4264	4
59688	625	36.5445	50.2962	4
59772	626	36.3051	50.3015	4
59857	627	36.3932	50.5295	4
59927	629	35.971	50.6553	4
60007	630	36.1651	50.6329	4
60087	631	36.4424	50.657	4
60177	632	35.5135	50.7869	4
60255	633	35.5123	50.7052	4
60341	634	35.8775	50.7078	4
60426	635	36.1053	50.7729	4
60513	636	36.4316	50.8182	4
60602	637	36.2165	50.8789	4
60697	638	35.9659	50.8984	4
60784	639	35.9487	51.0078	4
60882	640	36.2453	51.0109	4
60978	641	36.3891	50.9506	4
61069	642	35.3437	51.0901	4
61154	643	35.7464	51.0849	4
61256	644	36.1103	51.1373	4
61344	645	36.3073	51.1454	4
61427	646	36.3197	51.2886	4
61532	647	36.2724	51.4048	4
61629	648	36.3806	51.4817	4
61737	649	36.1329	51.3305	4
61845	650	36.0898	51.2518	4
61935	651	35.8614	51.2151	4
62020	652	35.4374	51.2144	4
62110	653	35.3341	51.3128	4
62185	654	35.9432	51.4304	4
62284	655	35.9062	51.3247	4
62390	656	35.7243	51.4512	4
62496	657	35.342	51.4564	4
62612	658	35.0374	51.2852	4
62687	659	35.0845	51.3959	4
62777	660	35.6655	51.2705	4
62866	661	35.0382	51.694	4
62983	662	35.092	51.5556	4
63098	663	35.601	51.5279	4
63191	664	35.9161	51.5474	4
63289	665	35.7511	51.5824	4
63384	666	35.9838	51.7021	4
63472	667	35.7086	51.7526	4
63575	668	35.8191	51.8028	4
63678	669	35.4546	51.8158	4
63767	670	35.2573	51.7443	4
63858	671	35.1992	51.8507	4
63961	672	34.9448	51.8585	4
64051	673	34.8229	52.0035	4
64143	674	35.2043	51.998	4
64218	675	35.4465	51.9556	4
64299	676	35.8138	51.8946	4
64388	677	35.6927	52.0382	4
64502	678	34.9886	52.1148	4
64577	679	35.3451	52.1386	4
64666	680	35.589	52.2031	4
64759	681	35.8833	52.1514	4
64865	682	35.7643	52.2915	4
64965	683	35.4977	52.3179	4
65049	684	34.8157	52.2171	4
65136	685	34.9807	52.3244	4
65228	686	35.2764	52.3352	4
65310	687	35.5108	52.4445	4
65410	688	35.8011	52.3665	4
65507	689	35.6698	52.4955	4
65612	690	35.8667	52.5253	4
65695	691	35.7842	52.5755	4
65773	692	35.9008	52.6231	4
65854	693	35.4306	52.5532	4
65876	694	35.607	52.6292	4
65962	695	35.9788	52.3163	4
66074	696	34.7251	52.5054	4
66166	697	34.8854	52.6702	4
66269	698	35.311	52.6482	4
66359	699	35.5183	52.6952	4
66449	700	34.7396	52.7749	4
66526	701	34.9066	52.842	4
66614	702	35.08	52.8537	4
66696	703	35.1658	52.7206	4
66795	704	35.3142	52.7849	4
66882	705	35.5066	52.8055	4
66969	706	35.7574	52.8277	4
67053	707	35.8196	52.8994	4
67125	708	34.6554	52.8855	4
67225	709	34.8326	52.981	4
67314	710	34.7627	53.1315	4
67408	711	35.0702	53.0829	4
67498	712	35.0464	53.2161	4
67589	713	35.2721	53.2531	4
67680	714	35.3605	53.0714	4
67765	715	35.3546	52.9612	4
67862	716	35.1573	52.9377	4
67935	717	35.0691	52.94	4
68008	718	35.5668	52.9555	4
68090	719	35.6678	53.0376	4
68173	720	35.5467	53.1773	4
68270	721	35.7935	53.1891	4
68370	722	34.6601	53.5101	4
68458	723	34.9709	53.5449	4
68540	724	34.9114	53.4152	4
68630	725	35.1865	53.3871	4
68727	726	35.2735	53.5507	4
68820	727	35.5097	53.4831	4
68923	728	35.4969	53.296	4
69018	729	35.7067	53.2923	4
69112	730	35.6402	53.371	4
69190	731	34.7109	53.3118	4
69283	732	34.557	53.6365	4
69369	733	34.7903	53.6169	4
69453	734	35.027	53.6377	4
69552	735	35.2847	53.6512	4
69644	736	35.5109	53.6367	4
69746	737	35.6374	53.7938	4
69837	738	35.444	53.8383	4
69922	739	35.1991	53.778	4
70016	740	34.9282	53.7491	4
70092	741	34.6582	53.7617	4
70167	742	34.6742	53.8346	4
70248	743	34.8229	53.8814	4
70337	744	35.0888	53.8421	4
70424	745	35.6142	53.9315	4
70507	746	34.8263	53.9759	4
70591	747	34.5695	54.0501	4
70677	748	34.5153	54.1746	4
70765	749	34.693	54.2159	4
70854	750	34.9415	54.1683	4
70962	751	35.095	54.0291	4
71047	752	35.3662	54.0168	4
71143	753	35.4863	54.1269	4
71237	754	35.4064	54.2676	4
71351	755	35.1899	54.1736	4
71441	756	34.633	54.5785	4
71529	757	34.808	54.3303	4
71623	758	34.9666	54.4406	4
71707	759	35.1952	54.3468	4
71789	760	35.5359	54.3641	4
71869	761	35.3834	54.5033	4
71958	762	35.383	54.6027	4
72056	763	35.115	54.6043	4
72155	764	34.7902	54.6428	4
72260	765	34.5848	54.9138	4
72350	766	34.5277	54.7504	4
72437	767	34.7801	54.8198	4
72530	768	34.8955	54.9747	4
72618	769	35.0937	54.8269	4
72725	770	35.3164	54.7619	4
72832	771	35.5083	54.8385	4
72926	772	35.2275	54.8904	4
73011	773	35.3283	54.9415	4
73086	774	35.3138	55.0514	4
73169	775	34.6809	55.3402	4
73260	776	34.8023	55.3874	4
73343	777	35.1371	55.2968	4
73436	778	35.4321	55.1972	4
73516	779	35.1711	55.1859	4
73598	780	34.9028	55.1429	4
73703	781	34.3223	55.0285	4
73783	782	34.7024	55.1952	4
73895	783	35.307	55.4335	4
73982	784	35.1288	55.4882	4
74064	785	35.1437	55.607	4
74158	786	35.1752	55.7085	4
74248	787	34.9409	55.7539	4
74358	788	34.9179	55.6533	4
74439	789	34.7353	55.5657	4
74536	790	34.614	55.4644	4
74616	791	34.5593	55.7691	4
74707	792	34.5312	56.0535	4
74810	793	34.5721	55.9186	4
74902	794	34.8043	55.8928	4
75007	795	35.0949	55.8754	4
75094	796	35.0298	56.0443	4
75197	797	34.7949	56.0315	4
75287	798	35.1808	56.0982	4
75376	799	34.8959	56.1653	4
75471	800	34.509	56.3012	4
75560	801	34.6672	56.3031	4
75640	802	34.6978	56.2194	4
75733	803	34.9226	56.2823	4
75823	804	35.1651	56.2038	4
75924	805	35.1716	56.3489	4
76025	806	35.2098	56.4515	4
76126	807	34.8774	56.45	4
76226	808	34.6262	56.5408	4
76329	809	34.5153	56.729	4
76422	810	34.7926	56.6817	4
76526	811	35.0261	56.6086	4
76629	812	34.7584	56.8354	4
76727	813	35.0322	56.881	4
76828	814	34.7433	57.0612	4
76908	815	34.5592	57.1288	4
76999	816	34.8237	57.1962	4
77084	817	34.9685	57.0958	6
77162	818	35.0426	57.2578	6
77254	819	34.3716	57.5175	4
77348	820	34.3897	57.3908	4
77441	821	34.7139	57.4699	4
77543	822	34.6874	57.2996	4
77640	823	34.9744	57.3693	6
77730	824	34.9863	57.6058	6
77830	825	34.6651	57.6094	4
77931	826	34.5021	57.6413	4
78019	827	34.1429	58.0467	4
78140	828	34.5041	57.9598	4
78229	829	34.7976	57.8601	4
78332	830	34.5053	57.7536	4
78428	831	34.8969	57.7236	4
