map_ID,no_np,dir,lon,lat
2013,36,sever,39.8648,61.5522
3885,36,severo-zapad,29.6371,59.3261
1909,36,vostok,38.7877,56.0641
3844,36,zapad,29.8483,56.7164
722,37,jug,34.6601,53.5101
2014,37,sever,39.5349,61.4686
68,37,severo-zapad,29.9055,59.3144
2133,37,vostok,39.1858,56.8627
3796,37,zapad,29.116,56.6248
723,38,jug,34.9709,53.5449
2015,38,sever,39.5483,61.4221
3725,38,severo-zapad,29.3085,59.1132
2134,38,vostok,39.4863,56.8137
3838,38,zapad,29.4029,56.5872
579,39,jug,34.3301,53.3851
2012,39,sever,39.9654,61.4223
3886,39,severo-zapad,29.6334,59.1967
2135,39,vostok,39.7285,56.8352
3839,39,zapad,29.6086,56.6335
580,40,jug,34.48,53.3068
2003,40,sever,39.0952,61.2508
76,40,severo-zapad,29.8821,59.1578
2136,40,vostok,39.966,56.8012
3840,40,zapad,29.7933,56.5614
731,41,jug,34.7109,53.3118
2016,41,sever,39.9342,61.177
77,41,severo-zapad,29.9559,59.0977
1922,41,vostok,39.1133,56.7092
3798,41,zapad,29.0893,56.4679
724,42,jug,34.9114,53.4152
2001,42,sever,39.0619,61.1499
62,42,severo-zapad,30.7492,60.0198
1921,42,vostok,39.3172,56.6343
3837,42,zapad,29.2089,56.5005
575,43,jug,34.1636,53.3176
2020,43,sever,39.7704,61.0241
14,43,severo-zapad,30.7323,59.9354
2142,43,vostok,39.5386,56.6574
3836,43,zapad,29.6953,56.5094
576,44,jug,34.0908,53.2457
376,44,sever,32.9501,60.4317
63,44,severo-zapad,30.7482,59.7698
2141,44,vostok,39.8185,56.6563
3799,44,zapad,29.1911,56.3956
585,45,jug,34.2343,53.1721
1794,645,jug,39.1302,52.1019
375,45,sever,32.6322,60.3268
65,45,severo-zapad,30.4117,59.6461
1913,45,vostok,39.0714,56.4408
3827,45,zapad,29.4736,56.3727
710,46,jug,34.7627,53.1315
384,46,sever,32.8444,60.2546
64,46,severo-zapad,30.7829,59.7009
2,46,vostok,39.2156,56.4647
3833,46,zapad,29.8829,56.4163
587,47,jug,34.5695,53.0113
386,47,sever,32.6698,60.1868
73,47,severo-zapad,30.6904,59.5463
2144,47,vostok,39.5214,56.493
3810,47,zapad,29.2828,56.2807
387,48,sever,32.8542,60.0889
75,48,severo-zapad,30.6113,59.5092
2145,48,vostok,39.7956,56.5176
3828,48,zapad,29.7141,56.2967
875,49,sever,33.9162,60.9799
74,49,severo-zapad,30.8712,59.4239
2146,49,vostok,39.9384,56.4602
3831,49,zapad,30.0057,56.2891
373,50,sever,33.3624,60.7728
71,50,severo-zapad,30.4452,59.3723
1912,50,vostok,39.1194,56.3685
3826,50,zapad,29.5287,56.205
374,51,sever,33.3906,60.6563
70,51,severo-zapad,30.1416,59.3114
2143,51,vostok,39.3968,56.3838
3829,51,zapad,29.8513,56.1821
726,52,jug,35.2735,53.5507
379,52,sever,33.6908,60.5928
72,52,severo-zapad,30.4885,59.301
2152,52,vostok,39.7918,56.3679
3808,52,zapad,29.0956,56.1031
1085,53,jug,35.8338,53.5425
378,53,sever,33.5775,60.4922
80,53,severo-zapad,30.3672,59.2054
2151,53,vostok,39.9918,56.3432
3814,53,zapad,29.3857,56.056
727,54,jug,35.5097,53.4831
377,54,sever,33.3098,60.4429
81,54,severo-zapad,30.5539,59.1536
1911,54,vostok,39.2501,56.2923
3815,54,zapad,29.6775,56.0711
380,55,sever,33.9336,60.4653
79,55,severo-zapad,30.1072,59.0807
2154,55,vostok,39.5905,56.3196
725,56,jug,35.1865,53.3871
382,56,sever,33.6606,60.4268
82,56,severo-zapad,30.5011,59.0543
2153,56,vostok,39.4861,56.2209
39,56,zapad,30.1227,56.9351
730,57,jug,35.6402,53.371
383,57,sever,33.1716,60.3467
372,57,severo-zapad,31.8315,60.1914
2155,57,vostok,39.7567,56.2002
111,57,zapad,30.3925,56.8816
712,58,jug,35.0464,53.2161
381,58,sever,33.9237,60.3209
320,58,severo-zapad,31.7454,60.0206
1910,58,vostok,39.1724,56.1329
3912,58,zapad,30.6779,56.901
713,59,jug,35.2721,53.2531
385,59,sever,33.5859,60.2434
367,59,severo-zapad,31.8205,60.0416
2156,59,vostok,39.4845,56.0617
3845,59,zapad,30.0657,56.8016
728,60,jug,35.4969,53.296
391,60,sever,33.8655,60.214
319,60,severo-zapad,31.5967,59.949
2157,60,vostok,39.6823,56.0797
112,60,zapad,30.546,56.7561
729,61,jug,35.7067,53.2923
388,61,sever,33.2978,60.1398
368,61,severo-zapad,31.8095,59.9103
2158,61,vostok,39.9915,56.0948
3915,61,zapad,30.8908,56.7763
720,62,jug,35.5467,53.1773
392,62,sever,33.9316,60.1059
318,62,severo-zapad,31.5247,59.8958
2137,62,vostok,40.0469,56.8449
38,62,zapad,30.3008,56.7066
721,63,jug,35.7935,53.1891
390,63,sever,33.5384,60.0587
315,63,severo-zapad,31.2559,59.8072
2138,63,vostok,40.2733,56.8249
113,63,zapad,30.7345,56.6909
1088,64,jug,35.8857,53.145
389,64,sever,33.3044,60.0289
316,64,severo-zapad,31.1327,59.7022
2427,64,vostok,40.598,56.8028
3846,64,zapad,30.115,56.6538
711,65,jug,35.0702,53.0829
888,65,sever,34.7734,60.9664
361,65,severo-zapad,31.9086,59.6396
4098,65,vostok,40.8721,56.8575
37,65,zapad,30.4132,56.6076
714,66,jug,35.3605,53.0714
887,66,sever,35.006,60.9323
317,66,severo-zapad,31.1798,59.6133
2139,66,vostok,40.1669,56.7273
3917,66,zapad,30.9007,56.6098
719,67,jug,35.6678,53.0376
889,67,sever,34.7697,60.8942
310,67,severo-zapad,31.2516,59.4451
2425,67,vostok,40.4226,56.69
3835,67,zapad,30.1265,56.5273
1096,68,jug,35.9318,53.0081
877,68,sever,34.4738,60.8786
311,68,severo-zapad,31.419,59.3658
4093,68,vostok,40.8274,56.727
3834,68,zapad,30.343,56.4657
890,69,sever,35.0078,60.8013
309,69,severo-zapad,31.1814,59.2947
2140,69,vostok,40.0447,56.5889
115,69,zapad,30.6941,56.5004
894,70,sever,34.831,60.6428
312,70,severo-zapad,31.4684,59.2992
2148,70,vostok,40.362,56.5788
3918,70,zapad,30.9676,56.5058
872,71,sever,34.1319,60.5643
313,71,severo-zapad,31.252,59.1826
